,Climate_date,Temp Max (° F),Temp Avg (° F),Temp Min (° F),Dew Max (° F),Dew Avg (° F),Dew Min (° F),Humidity Max (%),Humidity Avg (%),Humidity Min (%),Wind Max (mph),Wind Avg (mph),Wind Min (mph),Pressure Max (Hg),Pressure Avg (Hg),Pressue Min (Hg),Precipation Max (in),Precipation Avg (in),Precipation Min (in),arrest,beat,block,case_number,community_area,date,description,district,domestic,fbi_code,id,iucr,latitude,location,location_description,longitude,primary_type,updated_on,ward,x_coordinate,y_coordinate,year,Crime_date,Crime_time (CT)
10,2010-01-11,26.0,21.0,15.0,0.0,0.0,0.0,74.0,-,67.0,21.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1033,023XX S ALBANY AVE,JC329643,30,2019-07-01T07:36:00.000,AGGRAVATED DOMESTIC BATTERY: HANDGUN,10,True,04B,11741948,0488,41.849031391,"{'latitude': '41.849031391', 'longitude': '-87.702718844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",APARTMENT,-87.702718844,BATTERY,2019-07-08T16:16:04.000,12,1156064,1888208,2019,2019-07-01,07:36:00
11,2010-01-12,31.0,26.0,20.0,0.0,0.0,0.0,84.0,-,63.0,18.0,-,0.0,0.0,-,0.0,-,0.0,-,False,712,057XX S HALSTED ST,JC329631,68,2019-07-01T07:35:00.000,OVER $500,7,False,06,11741844,0810,41.790211616,"{'latitude': '41.790211616', 'longitude': '-87.645053415', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",CONSTRUCTION SITE,-87.645053415,THEFT,2019-07-08T16:16:04.000,16,1171947,1866895,2019,2019-07-01,07:35:00
12,2010-01-13,35.0,27.0,19.0,0.0,0.0,0.0,84.0,-,59.0,20.0,-,0.0,0.0,-,0.0,-,0.0,-,False,2232,105XX S SANGAMON ST,JC329635,73,2019-07-01T07:30:00.000,FORCIBLE ENTRY,22,False,05,11741876,0610,41.702357594,"{'latitude': '41.702357594', 'longitude': '-87.646342678', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE-GARAGE,-87.646342678,BURGLARY,2019-07-08T16:16:04.000,34,1171851,1834879,2019,2019-07-01,07:30:00
13,2010-01-14,40.0,36.0,31.0,0.0,0.0,0.0,96.0,-,69.0,17.0,-,0.0,0.0,-,0.0,-,0.0,-,False,2413,032XX W DEVON AVE,JC329633,2,2019-07-01T07:28:00.000,SIMPLE,24,False,08A,11741846,0560,41.997383899,"{'latitude': '41.997383899', 'longitude': '-87.709677147', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.70967714700001,ASSAULT,2019-07-08T16:16:04.000,50,1153775,1942254,2019,2019-07-01,07:28:00
14,2010-01-15,34.0,30.0,25.0,0.0,0.0,0.0,92.0,-,78.0,14.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1723,034XX W MONTROSE AVE,JC329711,14,2019-07-01T07:00:00.000,OVER $500,17,False,06,11741918,0810,41.961121999,"{'latitude': '41.961121999', 'longitude': '-87.713726005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.713726005,THEFT,2019-07-08T16:16:04.000,35,1152770,1929032,2019,2019-07-01,07:00:00
15,2010-01-16,27.0,25.0,23.0,0.0,0.0,0.0,96.0,-,81.0,15.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1631,074XX W ADDISON ST,JC329651,17,2019-07-01T07:00:00.000,CRIMINAL DEFACEMENT,16,False,14,11741916,1305,41.945164879000004,"{'latitude': '41.945164879', 'longitude': '-87.812146484', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",COMMERCIAL / BUSINESS OFFICE,-87.812146484,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,38,1126037,1923039,2019,2019-07-01,07:00:00
16,2010-01-17,29.0,24.0,19.0,0.0,0.0,0.0,100.0,-,88.0,13.0,-,0.0,0.0,-,0.0,-,0.0,-,False,421,076XX S COLES AVE,JC329612,43,2019-07-01T07:00:00.000,OTHER OFFENSE,4,True,20,11741923,1780,41.757589249,"{'latitude': '41.757589249', 'longitude': '-87.556256082', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.556256082,OFFENSE INVOLVING CHILDREN,2019-07-08T16:16:04.000,7,1196270,1855214,2019,2019-07-01,07:00:00
17,2010-01-18,31.0,29.0,27.0,0.0,0.0,0.0,100.0,-,85.0,12.0,-,0.0,0.0,-,0.0,-,0.0,-,True,815,047XX S CICERO AVE,JC329638,56,2019-07-01T06:50:00.000,SOLICIT ON PUBLIC WAY,8,False,16,11741853,1506,41.806627559,"{'latitude': '41.806627559', 'longitude': '-87.74312593', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.74312593,PROSTITUTION,2019-07-08T16:16:04.000,14,1145161,1872678,2019,2019-07-01,06:50:00
18,2010-01-19,38.0,33.0,27.0,0.0,0.0,0.0,85.0,-,52.0,9.0,-,0.0,0.0,-,0.0,-,0.0,-,False,2424,075XX N SEELEY AVE,JC329608,1,2019-07-01T06:43:00.000,UNLAWFUL USE HANDGUN,24,False,15,11741832,141A,42.018424239,"{'latitude': '42.018424239', 'longitude': '-87.681639451', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.68163945100001,WEAPONS VIOLATION,2019-07-08T16:16:04.000,49,1161338,1949978,2019,2019-07-01,06:43:00
19,2010-01-20,33.0,29.0,24.0,0.0,0.0,0.0,84.0,-,69.0,25.0,-,0.0,0.0,-,0.0,-,0.01,-,False,413,013XX E 89TH PL,JC329602,48,2019-07-01T06:43:00.000,THEFT/RECOVERY: AUTOMOBILE,4,False,07,11741925,0930,41.732278245,"{'latitude': '41.732278245', 'longitude': '-87.591501457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.591501457,MOTOR VEHICLE THEFT,2019-07-08T16:16:04.000,8,1186733,1845906,2019,2019-07-01,06:43:00
20,2010-01-21,35.0,33.0,30.0,0.0,0.0,0.0,82.0,-,72.0,25.0,-,0.0,0.0,-,0.0,-,0.08,-,True,1113,046XX W WEST END AVE,JC329611,25,2019-07-01T06:31:00.000,SIMPLE,11,True,08A,11741940,0560,41.883171809000004,"{'latitude': '41.883171809', 'longitude': '-87.741753661', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.741753661,ASSAULT,2019-07-08T16:16:04.000,28,1145343,1900573,2019,2019-07-01,06:31:00
21,2010-01-22,35.0,34.0,33.0,0.0,0.0,0.0,96.0,-,75.0,16.0,-,0.0,0.0,-,0.0,-,0.0,-,False,533,132XX S DR MARTIN LUTHER KING JR DR,JC329606,54,2019-07-01T06:30:00.000,OTHER VEHICLE OFFENSE,5,True,26,11741817,5002,41.655366246999996,"{'latitude': '41.655366247', 'longitude': '-87.613162149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.61316214899999,OTHER OFFENSE,2019-07-08T16:16:04.000,9,1181055,1817830,2019,2019-07-01,06:30:00
22,2010-01-23,44.0,39.0,34.0,0.0,0.0,0.0,100.0,-,82.0,17.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1135,027XX W POLK ST,JC329596,27,2019-07-01T06:20:00.000,TO VEHICLE,11,False,14,11741805,1320,41.871078397,"{'latitude': '41.871078397', 'longitude': '-87.694215442', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.694215442,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,28,1158321,1896259,2019,2019-07-01,06:20:00
23,2010-01-24,46.0,38.0,30.0,0.0,0.0,0.0,100.0,-,78.0,25.0,-,0.0,0.0,-,0.0,-,0.49,-,True,1653,0000X W TERMINAL ST,JC329590,76,2019-07-01T06:05:00.000,BOARD PLANE WITH WEAPON,16,False,26,11741898,4860,41.976762981,"{'latitude': '41.976762981', 'longitude': '-87.900983721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,-87.900983721,OTHER OFFENSE,2019-07-08T16:16:04.000,41,1101811,1934419,2019,2019-07-01,06:05:00
24,2010-01-25,32.0,26.0,19.0,0.0,0.0,0.0,85.0,-,68.0,26.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1634,053XX W WAVELAND AVE,JC329626,15,2019-07-01T06:00:00.000,SIMPLE,16,True,08A,11741834,0560,41.947786930999996,"{'latitude': '41.947786931', 'longitude': '-87.760580513', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.760580513,ASSAULT,2019-07-08T16:16:04.000,36,1140059,1924084,2019,2019-07-01,06:00:00
25,2010-01-26,24.0,18.0,12.0,0.0,0.0,0.0,80.0,-,68.0,22.0,-,0.0,0.0,-,0.0,-,0.0,-,False,533,132XX S DR MARTIN LUTHER KING JR DR,JC329610,54,2019-07-01T06:00:00.000,AUTOMOBILE,5,True,07,11741851,0910,41.655366246999996,"{'latitude': '41.655366247', 'longitude': '-87.613162149', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.61316214899999,MOTOR VEHICLE THEFT,2019-07-08T16:16:04.000,9,1181055,1817830,2019,2019-07-01,06:00:00
26,2010-01-27,23.0,16.0,9.0,0.0,0.0,0.0,88.0,-,61.0,22.0,-,0.0,0.0,-,0.0,-,0.0,-,False,2233,110XX S LOWE AVE,JC329579,49,2019-07-01T05:45:00.000,TO PROPERTY,22,False,14,11741804,1310,41.693708697,"{'latitude': '41.693708697', 'longitude': '-87.638785917', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE-GARAGE,-87.638785917,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,34,1173940,1831744,2019,2019-07-01,05:45:00
27,2010-01-28,17.0,12.0,6.0,0.0,0.0,0.0,76.0,-,48.0,25.0,-,0.0,0.0,-,0.0,-,0.0,-,False,925,044XX S SHIELDS AVE,JC329576,37,2019-07-01T05:40:00.000,TO VEHICLE,9,True,14,11741796,1320,41.813099036,"{'latitude': '41.813099036', 'longitude': '-87.634618015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.634618015,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,3,1174725,1875258,2019,2019-07-01,05:40:00
28,2010-01-29,21.0,13.0,5.0,0.0,0.0,0.0,80.0,-,39.0,10.0,-,0.0,0.0,-,0.0,-,0.0,-,False,332,069XX S DANTE AVE,JC329575,43,2019-07-01T05:40:00.000,SIMPLE,3,False,08B,11741800,0460,41.76840507,"{'latitude': '41.76840507', 'longitude': '-87.589509136', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.589509136,BATTERY,2019-07-08T16:16:04.000,5,1187163,1859075,2019,2019-07-01,05:40:00
29,2010-01-30,25.0,22.0,18.0,0.0,0.0,0.0,84.0,-,59.0,13.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1623,050XX W WINONA ST,JC329591,12,2019-07-01T05:30:00.000,"CYCLE, SCOOTER, BIKE W-VIN",16,False,07,11741815,0917,41.974346047,"{'latitude': '41.974346047', 'longitude': '-87.754142338', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.754142338,MOTOR VEHICLE THEFT,2019-07-08T16:16:04.000,45,1141745,1933774,2019,2019-07-01,05:30:00
30,2010-01-31,29.0,22.0,15.0,0.0,0.0,0.0,88.0,-,37.0,14.0,-,0.0,0.0,-,0.0,-,0.0,-,False,321,008XX E 67TH ST,JC329582,42,2019-07-01T05:30:00.000,TO VEHICLE,3,False,14,11741827,1320,41.773155511,"{'latitude': '41.773155511', 'longitude': '-87.60407417', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.60407417,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,5,1183175,1860772,2019,2019-07-01,05:30:00
31,2010-02-01,30.0,22.0,14.0,0.0,0.0,0.0,75.0,-,50.0,9.0,-,0.0,0.0,-,0.0,-,0.0,-,False,2233,106XX S EMERALD AVE,JC329600,49,2019-07-01T05:30:00.000,TO PROPERTY,22,False,14,11741816,1310,41.700610141,"{'latitude': '41.700610141', 'longitude': '-87.641425094', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE-GARAGE,-87.641425094,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,34,1173199,1834253,2019,2019-07-01,05:30:00
32,2010-02-02,32.0,29.0,25.0,0.0,0.0,0.0,100.0,-,78.0,14.0,-,0.0,0.0,-,0.0,-,0.1,-,False,1022,016XX S SPAULDING AVE,JC329769,29,2019-07-01T05:00:00.000,TO VEHICLE,10,False,14,11741958,1320,41.858384589,"{'latitude': '41.858384589', 'longitude': '-87.707876278', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.70787627799999,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,24,1154634,1891606,2019,2019-07-01,05:00:00
33,2010-02-03,32.0,28.0,23.0,0.0,0.0,0.0,88.0,-,63.0,14.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1914,045XX N HAZEL ST,JC329571,3,2019-07-01T04:53:00.000,TO VEHICLE,19,False,14,11741785,1320,41.96478386,"{'latitude': '41.96478386', 'longitude': '-87.652388396', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.652388396,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,46,1169442,1930493,2019,2019-07-01,04:53:00
34,2010-02-04,33.0,27.0,21.0,0.0,0.0,0.0,92.0,-,64.0,14.0,-,0.0,0.0,-,0.0,-,0.0,-,False,131,012XX S MICHIGAN AVE,JC329567,33,2019-07-01T04:49:00.000,AGGRAVATED: OTHER FIREARM,1,False,04A,11741819,051B,41.866937617,"{'latitude': '41.866937617', 'longitude': '-87.624141504', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESTAURANT,-87.624141504,ASSAULT,2019-07-08T16:16:04.000,3,1177419,1894900,2019,2019-07-01,04:49:00
35,2010-02-05,35.0,33.0,30.0,0.0,0.0,0.0,100.0,-,69.0,26.0,-,0.0,0.0,-,0.0,-,0.02,-,False,1613,055XX N NEVA AVE,JC329564,10,2019-07-01T04:40:00.000,TO VEHICLE,16,False,14,11741859,1320,41.98112903,"{'latitude': '41.98112903', 'longitude': '-87.805806836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.805806836,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,41,1127681,1936155,2019,2019-07-01,04:40:00
36,2010-02-06,31.0,28.0,25.0,0.0,0.0,0.0,75.0,-,63.0,28.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1613,055XX N NEVA AVE,JC329565,10,2019-07-01T04:40:00.000,$500 AND UNDER,16,False,06,11741858,0820,41.98112903,"{'latitude': '41.98112903', 'longitude': '-87.805806836', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.805806836,THEFT,2019-07-08T16:16:04.000,41,1127681,1936155,2019,2019-07-01,04:40:00
37,2010-02-07,31.0,27.0,23.0,0.0,0.0,0.0,88.0,-,53.0,13.0,-,0.0,0.0,-,0.0,-,0.0,-,False,726,063XX S HONORE ST,JC329566,67,2019-07-01T04:35:00.000,ARMED: OTHER DANGEROUS WEAPON,7,False,03,11741811,0313,41.77855127,"{'latitude': '41.77855127', 'longitude': '-87.670273868', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.670273868,ROBBERY,2019-07-08T16:16:04.000,15,1165102,1862592,2019,2019-07-01,04:35:00
38,2010-02-08,30.0,25.0,20.0,0.0,0.0,0.0,84.0,-,58.0,18.0,-,0.0,0.0,-,0.0,-,0.0,-,False,732,069XX S PARNELL AVE,JC329568,68,2019-07-01T04:25:00.000,TO VEHICLE,7,False,14,11741792,1320,41.76808844,"{'latitude': '41.76808844', 'longitude': '-87.638431431', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.638431431,CRIMINAL DAMAGE,2019-07-08T16:16:04.000,6,1173818,1858848,2019,2019-07-01,04:25:00
39,2010-02-09,28.0,26.0,23.0,0.0,0.0,0.0,96.0,-,68.0,21.0,-,0.0,0.0,-,0.0,-,0.65,-,False,2534,043XX W HIRSCH ST,JC329557,23,2019-07-01T04:17:00.000,DOMESTIC BATTERY SIMPLE,25,True,08B,11741780,0486,41.90616447,"{'latitude': '41.90616447', 'longitude': '-87.734084055', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.734084055,BATTERY,2019-07-08T16:16:04.000,26,1147373,1908966,2019,2019-07-01,04:17:00
40,2010-02-10,26.0,22.0,17.0,0.0,0.0,0.0,92.0,-,68.0,25.0,-,0.0,0.0,-,0.0,-,0.02,-,False,1013,025XX S PULASKI RD,JC329553,30,2019-07-01T04:00:00.000,STRONGARM - NO WEAPON,10,False,03,11741741,0320,41.84585638,"{'latitude': '41.84585638', 'longitude': '-87.72460935', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.72460935,ROBBERY,2019-07-08T16:16:04.000,22,1150108,1887008,2019,2019-07-01,04:00:00
41,2010-02-11,30.0,20.0,10.0,0.0,0.0,0.0,84.0,-,46.0,12.0,-,0.0,0.0,-,0.0,-,0.0,-,False,512,105XX S LAFAYETTE AVE,JC329560,49,2019-07-01T04:00:00.000,DOMESTIC BATTERY SIMPLE,5,True,08B,11741781,0486,41.702631618000005,"{'latitude': '41.702631618', 'longitude': '-87.624583988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",RESIDENCE,-87.624583988,BATTERY,2019-07-08T16:16:04.000,34,1177792,1835027,2019,2019-07-01,04:00:00
42,2010-02-12,32.0,21.0,10.0,0.0,0.0,0.0,92.0,-,43.0,9.0,-,0.0,0.0,-,0.0,-,0.0,-,False,1831,0000X W HUBBARD ST,JC329556,8,2019-07-01T03:57:00.000,SIMPLE,18,False,08B,11741767,0460,41.890053273,"{'latitude': '41.890053273', 'longitude': '-87.628744799', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",SIDEWALK,-87.628744799,BATTERY,2019-07-08T16:16:04.000,42,1176096,1903313,2019,2019-07-01,03:57:00
43,2010-02-13,30.0,21.0,11.0,0.0,0.0,0.0,74.0,-,46.0,15.0,-,0.0,0.0,-,0.0,-,0.0,-,True,1653,0000X W TERMINAL ST,JC329559,76,2019-07-01T03:56:00.000,PROHIBITED PLACES,16,False,15,11741818,1478,41.976762981,"{'latitude': '41.976762981', 'longitude': '-87.900983721', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,-87.900983721,CONCEALED CARRY LICENSE VIOLATION,2019-07-08T16:16:04.000,41,1101811,1934419,2019,2019-07-01,03:56:00
44,2010-02-14,29.0,19.0,9.0,0.0,0.0,0.0,88.0,-,50.0,12.0,-,0.0,0.0,-,0.0,-,0.0,-,True,611,078XX S HAMILTON AVE,JC329548,71,2019-07-01T03:44:00.000,AGGRAVATED:KNIFE/CUTTING INSTR,6,False,04A,11741825,0520,41.751458708,"{'latitude': '41.751458708', 'longitude': '-87.676819482', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.67681948200001,ASSAULT,2019-07-08T16:16:04.000,18,1163392,1852706,2019,2019-07-01,03:44:00
45,2010-02-15,28.0,17.0,6.0,0.0,0.0,0.0,92.0,-,55.0,16.0,-,0.0,0.0,-,0.0,-,0.0,-,False,2223,096XX S WALLACE ST,JC329552,73,2019-07-01T03:30:00.000,DOMESTIC BATTERY SIMPLE,22,True,08B,11741774,0486,41.718846454,"{'latitude': '41.718846454', 'longitude': '-87.638288209', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.638288209,BATTERY,2019-07-08T16:16:04.000,21,1174002,1840905,2019,2019-07-01,03:30:00
46,2010-02-16,32.0,29.0,25.0,0.0,0.0,0.0,88.0,-,53.0,21.0,-,0.0,0.0,-,0.0,-,0.0,-,False,332,017XX E 68TH ST,JC329546,43,2019-07-01T03:26:00.000,UNLAWFUL USE HANDGUN,3,False,15,11741744,141A,41.771519751,"{'latitude': '41.771519751', 'longitude': '-87.583164168', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",ALLEY,-87.583164168,WEAPONS VIOLATION,2019-07-08T16:16:04.000,5,1188884,1860225,2019,2019-07-01,03:26:00
47,2010-02-17,32.0,29.0,26.0,0.0,0.0,0.0,75.0,-,63.0,16.0,-,0.0,0.0,-,0.0,-,0.0,-,False,823,031XX W 61ST ST,JC329541,66,2019-07-01T03:20:00.000,AGGRAVATED: HANDGUN,8,False,04B,11741787,041A,41.782616229,"{'latitude': '41.782616229', 'longitude': '-87.702556066', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",STREET,-87.702556066,BATTERY,2019-07-08T16:16:04.000,16,1156286,1864007,2019,2019-07-01,03:20:00
